Date,Spot_Price,Total OI,Market Cap,OI to Market Cap %,pct change,Futures Price,Funding Rate (Calculated),Funding Rate %
2022-10-07,19951.6,12243145766.0,375141673101.38,3.2636058971489836,-1.057844364459326,19410.0,-541.5999999999985,0.009171
2022-10-08,19522.94,11849390021.0,372907889507.8995,3.177564850300382,-2.1484993684717013,,,0.005114666666666667
2022-10-09,19408.6,11877645647.0,372006326663.6333,3.1928611950032026,-0.5856699861803594,,,0.002324333333333333
2022-10-10,19485.0,12033334988.0,367482515925.0,3.2745326557130405,0.39363993281329446,19125.0,-360.0,0.007436666666666667
2022-10-11,19134.0855,12173144254.0,364623040537.5,3.338555960713635,-1.8009468822170804,18900.0,-234.08550000000105,0.01
2022-10-12,19049.5,12540582327.0,366594939450.0,3.4208279977390177,-0.44206711629881656,19095.0,45.5,0.01
2022-10-13,19145.152,12521109975.0,372060717500.0,3.365340490426808,0.5021234153127274,19360.0,214.84800000000178,0.007134000000000001
2022-10-14,19356.0,12761290572.0,366689275687.5,3.480137385549129,1.1013127500894226,19110.0,-246.0,0.00721
2022-10-15,19185.0,12281420658.0,365844803775.0,3.3570028961114495,-0.8834469931804145,,,0.004217333333333333
2022-10-16,19065.5,12275878235.0,369392031050.0,3.323265583208634,-0.6228824602554028,19212.5,147.0,0.0021966666666666666
2022-10-17,19272.408,12149306109.0,374627389500.0,3.243037335101202,1.0852482232304395,19515.0,242.59200000000055,0.0038763333333333328
2022-10-18,19564.0,12792496650.0,368676275218.75,3.4698453656693027,1.5130024229458083,19180.0,-384.0,0.01
2022-10-19,19321.5,12540144624.0,367619518706.25,3.4111748658319545,-1.2395215702310391,19200.0,-121.5,0.009199333333333334
2022-10-20,19126.618,12641231146.0,365853778437.5,3.4552687141809972,-1.0086276945371786,19030.0,-96.61799999999857,0.006038666666666667
2022-10-21,19035.0,12827973635.0,366868596862.5,3.4966126140820504,-0.479007841323531,19195.0,160.0,0.0027670000000000004
2022-10-22,19180.4254,12703138932.0,368402266618.75,3.448170677284717,0.76398949303913,,,0.003920666666666667
2022-10-23,19195.0,12626478397.0,374426826400.0,3.372215211821158,0.07598684437937209,19590.0,395.0,0.0034990000000000004
2022-10-24,19565.718,12988777407.0,371260186325.0,3.4985645877012153,1.9313258661109778,19340.0,-225.71800000000076,0.007442666666666667
2022-10-25,19323.3,12501001157.0,389060269687.5,3.213127150464637,-1.238993631616292,20305.0,981.7000000000007,0.004393333333333334
2022-10-26,20079.3,13488596110.0,398694166850.0,3.3831937438590094,3.9123752154135216,20780.0,700.7000000000007,0.004676666666666667
2022-10-27,20776.0,13805461912.0,396601206000.0,3.4809429984436306,3.4697424711020775,20625.0,-151.0,-0.00029566666666666657
2022-10-28,20292.0,12985322462.0,395123351900.0,3.2863971211922696,-2.329611089718908,20478.4,186.40000000000146,-0.0001053333333333333
2022-10-29,20594.0,12716946002.0,400460119312.5,3.1755836321060227,1.4882712398974984,,,0.0038146666666666663
2022-10-30,20804.0,12755778277.0,397021555218.75,3.2128679436490173,1.0197144799456215,20670.0,-134.0,0.0019439999999999995
2022-10-31,20630.0,12357347692.0,391823707562.5,3.1538029612536587,-0.836377619688522,20380.0,-250.0,0.0016373333333333333
2022-11-01,20503.0,12033337099.0,392688224887.5,3.0643488488730193,-0.6156083373727528,20480.0,-23.0,0.000312
2022-11-02,20481.5876,11974148027.0,387289891875.0,3.0917791241669494,-0.10443544847096309,20265.0,-216.58759999999893,0.004012000000000001
2022-11-03,20148.289,11703289134.0,388864180200.0,3.009608426258439,-1.6273084221264056,20285.0,136.71099999999933,0.0033533333333333336
2022-11-04,20214.0,11656036499.0,405180649125.0,2.8767505368707926,0.32613687445122164,21155.0,941.0,0.004158666666666667
2022-11-05,21140.704,12647693032.0,410211709650.0,3.083211116228554,4.584466211536564,,,0.0063166666666666675
